epoch,accuracy,loss,val_accuracy,val_loss
0,0.4456130564212799,1.2501457929611206,0.5389049053192139,1.1229987144470215
1,0.6011624932289124,0.9575235247612,0.5561959743499756,1.0631688833236694
2,0.6700802445411682,0.8250462412834167,0.5677233338356018,1.0712568759918213
3,0.714364767074585,0.727111279964447,0.5850144028663635,1.0825399160385132
4,0.7481317520141602,0.6386035084724426,0.5878962278366089,1.0879024267196655
5,0.7890949249267578,0.5433671474456787,0.5821325778961182,1.0941922664642334
6,0.8092997670173645,0.4962433874607086,0.5763688683509827,1.1678229570388794
7,0.8342097997665405,0.43660932779312134,0.5417867302894592,1.4962043762207031
8,0.8488790392875671,0.4055062532424927,0.6051872968673706,1.3155622482299805
9,0.8632715344429016,0.3694581389427185,0.5878962278366089,1.3091163635253906
10,0.8912261128425598,0.30671393871307373,0.5936599373817444,1.450729489326477
11,0.8967617154121399,0.27977287769317627,0.5850144028663635,1.572645902633667
12,0.9144755005836487,0.2465655505657196,0.5878962278366089,1.5988861322402954
13,0.9321893453598022,0.1971215158700943,0.5850144028663635,1.7057561874389648
14,0.9374480843544006,0.17765727639198303,0.579250693321228,1.7940665483474731
15,0.9382784366607666,0.17895039916038513,0.5677233338356018,1.7057982683181763
16,0.9294215440750122,0.1989544928073883,0.5533141493797302,2.017575740814209
17,0.9413229823112488,0.16769550740718842,0.5734870433807373,1.8254772424697876
18,0.9559922218322754,0.13261646032333374,0.5878962278366089,1.918737530708313
19,0.9604207277297974,0.11887578666210175,0.5763688683509827,2.082204580307007
20,0.9629117250442505,0.11492730677127838,0.5475504398345947,2.0315680503845215
21,0.9623581767082214,0.10472698509693146,0.5619596838951111,2.1310317516326904
22,0.9606974720954895,0.11556414514780045,0.5994236469268799,2.188091278076172
23,0.9584832787513733,0.11870969086885452,0.5677233338356018,2.1629202365875244
24,0.9557154774665833,0.1251552253961563,0.579250693321228,2.2324562072753906
