epoch,accuracy,loss,val_accuracy,val_loss
0,0.3772488236427307,1.3261362314224243,0.4005763828754425,1.2860251665115356
1,0.6363133192062378,1.0019127130508423,0.6484149694442749,0.961003303527832
2,0.7907556295394897,0.5932901501655579,0.6945244669914246,0.8136987090110779
3,0.84721839427948,0.42543572187423706,0.6772334575653076,0.8319262266159058
4,0.87129807472229,0.34550273418426514,0.680115282535553,0.8260237574577332
5,0.895654559135437,0.28547394275665283,0.6772334575653076,0.8867303729057312
6,0.9194574952125549,0.23548635840415955,0.6743515729904175,0.9132921099662781
7,0.9341267347335815,0.20071378350257874,0.680115282535553,0.9937907457351685
8,0.9402158856391907,0.17481644451618195,0.6628242135047913,1.0212459564208984
9,0.9515637755393982,0.14902998507022858,0.680115282535553,1.0844794511795044
10,0.9590368270874023,0.13471651077270508,0.6657060384750366,1.1528674364089966
11,0.9642956256866455,0.11708540469408035,0.6685879230499268,1.2112003564834595
12,0.9665098190307617,0.10984304547309875,0.6743515729904175,1.2355903387069702
13,0.9703847169876099,0.09779209643602371,0.6628242135047913,1.280238389968872
14,0.9698311686515808,0.09720983356237411,0.6599423885345459,1.3139830827713013
15,0.973429262638092,0.089993916451931,0.6772334575653076,1.3393100500106812
16,0.975643515586853,0.08477838337421417,0.6628242135047913,1.3597239255905151
17,0.973429262638092,0.08168583363294601,0.6743515729904175,1.400482416152954
18,0.9739828109741211,0.0773347020149231,0.6628242135047913,1.440523624420166
19,0.977027416229248,0.06928622722625732,0.6743515729904175,1.4592573642730713
20,0.9759202599525452,0.07270311564207077,0.6685879230499268,1.4937403202056885
21,0.9745364189147949,0.07335416227579117,0.6599423885345459,1.527030348777771
22,0.9775809645652771,0.06803207099437714,0.6628242135047913,1.5344890356063843
23,0.9792416095733643,0.062142372131347656,0.6657060384750366,1.6042128801345825
24,0.9778577089309692,0.06278171390295029,0.6599423885345459,1.5621947050094604
